900	2
0.570177	0.657582	0.854444
0.404065	0.0148015	0.786232
0.502457	0.968139	0.545952
0.620655	0.508225	1.01613
0.829127	0.858486	0.96383
0.46556	0.0447401	0.896948
0.148259	0.687033	0.228408
0.905057	0.10126	1.56486
0.402875	0.00433363	0.784122
0.649312	0.961516	0.692042
0.998016	0.32606	1.59224
0.45848	0.923795	0.533577
0.803003	0.251778	1.39352
0.411237	0.619861	0.650749
0.819422	0.585803	1.21782
0.167486	0.351573	0.313013
0.796564	0.615955	1.16713
0.756798	0.851222	0.905023
0.575213	0.207038	1.06479
0.923032	0.371929	1.48583
0.441359	0.864986	0.554166
0.557207	0.514512	0.920707
0.27073	0.427747	0.486679
0.249397	0.696799	0.378573
0.745903	0.539659	1.16438
0.490982	0.671865	0.738038
0.426527	0.565081	0.698796
0.558428	0.00119022	1.05971
0.954711	0.0978118	1.62449
0.610279	0.889492	0.721879
0.176061	0.722526	0.262778
0.0279855	0.286477	0.0536829
0.458388	0.184027	0.870063
0.532304	0.66332	0.799803
0.988464	0.621754	1.35777
0.106204	0.36845	0.197781
0.328898	0.0239875	0.645815
0.255776	0.970031	0.286024
0.0159307	0.559862	0.0269959
0.640248	0.49089	1.0537
0.479537	0.94409	0.541167
0.602283	0.942503	0.665967
0.0667135	0.491226	0.117563
0.630146	0.0636311	1.17614
0.450209	0.0159001	0.870198
0.282601	0.670858	0.436848
0.202521	0.234626	0.391257
0.607898	0.526017	0.987865
0.817652	0.825983	0.989017
0.588336	0.128117	1.10086
0.961211	0.805261	1.13623
0.641224	0.334971	1.12986
0.230323	0.369915	0.4257
0.70809	0.221107	1.2691
0.204535	0.871731	0.261406
0.962523	0.0784936	1.63622
0.0688803	0.0723289	0.137292
0.668966	0.966033	0.705223
0.590808	0.338145	1.05098
0.222724	0.713858	0.333911
0.731223	0.93112	0.797245
0.903073	0.789422	1.10601
0.672414	0.0511185	1.24413
0.370373	0.930784	0.432332
0.542467	0.787072	0.728864
0.438734	0.953887	0.491501
0.618671	0.631825	0.935988
0.155217	0.639882	0.248021
0.290384	0.718467	0.431092
0.717032	0.108829	1.30653
0.56325	0.432936	0.969349
0.257485	0.585894	0.424356
0.385327	0.560442	0.636725
0.0331126	0.966369	0.0376283
0.577044	0.620746	0.887548
0.0415052	0.0858791	0.0826807
0.645589	0.549699	1.02606
0.602802	0.101871	1.12803
0.265694	0.382244	0.487257
0.934782	0.892636	1.00939
0.707389	0.0939665	1.29397
0.2537	0.880093	0.319798
0.99237	0.256996	1.61965
0.431684	0.182836	0.822855
0.0600909	0.666494	0.0944054
0.741844	0.505539	1.18227
0.725181	0.594287	1.0991
0.722709	0.670492	1.03646
0.706412	0.825617	0.880325
0.693014	0.198614	1.2526
0.510117	0.135166	0.967651
0.948088	0.845027	1.07827
0.447493	0.359233	0.810171
0.169103	0.4962	0.296002
0.56859	0.719382	0.81005
0.0767235	0.334666	0.144792
0.793115	0.554521	1.21154
0.859645	0.67748	1.18059
0.0199896	0.117496	0.039701
0.410291	0.394787	0.736388
0.49678	0.592242	0.790857
0.898068	0.314737	1.48741
0.229591	0.987915	0.250534
0.711905	0.521043	1.13318
0.715995	0.0663167	1.30985
0.303171	0.949187	0.347716
0.780877	0.9588	0.808788
0.960204	0.18778	1.60981
0.797327	0.628529	1.15751
0.0456252	0.891537	0.0573051
0.0734275	0.835292	0.0984456
0.728141	0.711234	1.00828
0.686544	0.757866	0.920763
0.73925	0.148076	1.33272
0.54564	0.931394	0.61935
0.186956	0.237831	0.361274
0.963927	0.65508	1.3028
0.957396	0.471328	1.45708
0.52208	0.527085	0.862003
0.735099	0.85754	0.877627
0.504135	0.262337	0.933047
0.174413	0.535661	0.298448
0.686422	0.45024	1.14123
0.251991	0.842006	0.332095
0.761711	0.407636	1.26722
0.332224	0.238319	0.633857
0.178991	0.783898	0.252159
0.977172	0.00790429	1.65779
0.68096	0.0743126	1.2556
0.031373	0.125156	0.0622451
0.319468	0.697928	0.481252
0.0139164	0.20542	0.0272468
0.231269	0.79574	0.320787
0.347758	0.941282	0.401283
0.954436	0.406384	1.49906
0.45851	0.93115	0.528401
0.567186	0.174627	1.05818
0.273782	0.306925	0.515477
0.430158	0.249458	0.808213
0.153752	0.0666219	0.305615
0.813562	0.527818	1.25567
0.784997	0.518296	1.22798
0.190161	0.900388	0.234875
0.0681173	0.7416	0.10038
0.475784	0.655538	0.726188
0.531266	0.473189	0.901914
0.998016	0.697592	1.28815
0.299631	0.322184	0.55996
0.474899	0.736106	0.677723
0.153447	0.721946	0.229428
0.784722	0.101688	1.40596
0.704733	0.524369	1.12158
0.807733	0.34547	1.36004
0.224555	0.643147	0.356371
0.121677	0.277535	0.233465
0.152074	0.651997	0.240828
0.832057	0.601642	1.219
0.816248	0.744346	1.07179
0.318155	0.801263	0.435313
0.401715	0.960326	0.448281
0.176763	0.434309	0.319038
0.690298	0.0878933	1.26862
0.143986	0.492203	0.252913
0.608783	0.144047	1.13189
0.277078	0.979369	0.305029
0.114933	0.841914	0.152762
0.177252	0.370067	0.328776
0.452437	0.950926	0.507917
0.534623	0.0982696	1.01412
0.306253	0.955657	0.347961
0.776879	0.73693	1.03831
0.889798	0.919645	0.941816
0.102542	0.0229194	0.204671
0.494644	0.960662	0.544006
0.68038	0.384198	1.16645
0.534806	0.243416	0.989299
0.295846	0.124821	0.578563
0.616138	0.89639	0.721706
